Waterpoint,zebra,wildebeest,oryx,eland,elephant,impala,rhino,giraffe,kudu,springbok,time_range_days,RAI_zebra,RAI_wildebeest,RAI_oryx,RAI_eland,RAI_elephant,RAI_impala,RAI_rhino,RAI_giraffe,RAI_kudu,RAI_springbok,Woody.fraction,Herbaceous.fraction,Bare.fraction,Site,Area..ha.,Week,Grazing_units_absolute,Browsing_units_absolute,Grazing_percentage_zebra,Browsing_percentage_zebra,Grazing_percentage_wildebeest,Browsing_percentage_wildebeest,Grazing_percentage_oryx,Browsing_percentage_oryx,Grazing_percentage_eland,Browsing_percentage_eland,Grazing_percentage_elephant,Browsing_percentage_elephant,Grazing_percentage_impala,Browsing_percentage_impala,Grazing_percentage_rhino,Browsing_percentage_rhino,Grazing_percentage_giraffe,Browsing_percentage_giraffe,Grazing_percentage_kudu,Browsing_percentage_kudu,Grazing_percentage_springbok,Browsing_percentage_springbok,Grazing_units_per_1000ha,Browsing_units_per_1000ha
B4,33,10,13,36,9,138,22,11,38,2,21.75234954,1.517077497,0.459720454,0.59763659,1.654993634,0.413748408,6.344142262,1.011384998,0.505692499,1.746937724,0.091944091,0.6316539,0.2673118,0.101034164,B4,5438.99848,41,6.785933617,15.50729034,27.49813698,1.076129491,5.893909631,0.474327049,7.309802861,1.310328472,24.38859157,13.02027749,16.7061852,29.58911418,13.08854414,9.000355749,1.788496714,23.54440887,0.223562089,12.2613542,3.089221597,9.575477293,0.013549218,0.148227203,4.667373318,4.513753091
B6,1,0,1,21,16,6,21,4,10,0,14.77112269,0.067699661,0,0.067699661,1.421692883,1.083194578,0.406197967,1.421692883,0.270798644,0.676996611,0,0.50493085,0.37326506,0.121804066,B6,1831.570135,2,4.845941742,20.59288292,1.71835708,0.036162798,0,0,1.15954177,0.111775922,29.33780385,8.422644485,61.24615816,58.33388127,1.173512155,0.43395358,3.520536462,24.92274311,0.167644593,4.944440784,1.676445934,2.794398053,0,0,7.088221759,22.26699907
B7,12,51,15,43,14,193,17,3,15,0,14.74638889,0.813758547,3.458473826,1.017198184,2.915968128,0.949384972,13.08794997,1.152824609,0.203439637,1.017198184,0,0.64781314,0.19702637,0.15516056,B7,2105.926546,2,12.47017161,23.74547441,8.026537601,0.376970528,24.12855511,2.330363262,6.77035184,1.456477039,23.38354451,14.98172264,20.86029692,44.33973041,14.69356681,12.12588531,1.109358856,17.52627371,0.048942303,3.221384512,0.978846049,3.641192597,0,0,30.05417804,17.40555512
B5,10,8,98,31,35,162,18,6,52,0,13.95133102,0.716777488,0.57342199,7.024419381,2.222010212,2.508721208,11.6117953,1.290199478,0.430066493,3.727242937,0,0.51181304,0.39373097,0.094455875,B5,1813.113441,42,18.54733428,45.08888788,4.753439481,0.174866863,2.689751119,0.20348144,31.43453393,5.296876241,11.98021332,6.012240679,37.06136962,61.70415707,8.764878649,5.66568635,0.834750348,10.32986249,0.069562529,3.586360387,2.411501005,7.026468484,0,0,25.98106474,48.58846727
B4,132,143,34,12,11,314,28,21,34,5,13.92369213,9.480244088,10.27026443,2.441881053,0.861840372,0.790020341,22.55148973,2.010960867,1.50822065,2.441881053,0.359100155,0.6316539,0.2673118,0.101034164,B4,5438.99848,9,29.38947488,33.3862596,39.67644974,3.12352106,30.40248283,4.921911974,6.896214657,2.48677021,2.932479657,3.149335285,7.365411405,26.24230952,10.74265047,14.86038808,0.821094304,21.74418104,0.153955182,16.98575915,0.997043083,6.216925525,0.012218665,0.268898163,20.21411623,9.717837814
B5,3,2,5,6,9,7,3,6,11,0,13.72653935,0.218554723,0.145703148,0.364257871,0.437109445,0.655664168,0.509961019,0.218554723,0.437109445,0.801367316,0,0.51181304,0.39373097,0.094455875,B5,1813.113441,47,3.138445817,11.20165805,8.565459624,0.214620188,4.038997203,0.208116545,9.633240481,1.105619146,13.92757659,4.76066597,57.24233984,64.9128512,2.274837509,1.001560873,0.835654598,7.04344434,0.417827298,14.67221643,3.064066851,6.080905304,0,0,4.396327943,12.07107607
B5,0,0,9,2,5,129,13,2,9,0,13.26869213,0,0,0.678288403,0.150730756,0.376826891,9.722133782,0.979749916,0.150730756,0.678288403,0,0.51181304,0.39373097,0.094455875,B5,1813.113441,3,3.310801062,11.41257921,0,0,0,0,17.00432505,2.020735652,4.552697464,1.61130555,31.18597771,36.6175791,41.11085818,18.74133263,3.551104029,30.99121706,0.136580924,4.965990876,2.458456634,5.05183913,0,0,4.637762789,12.29836791
B14,2,1,4,1,5,15,1,7,2,0,13.17832176,0.151764393,0.075882196,0.303528786,0.075882196,0.379410982,1.138232946,0.075882196,0.531175375,0.151764393,0,0.39439645,0.39619225,0.20941132,B14,1196.438789,3,1.822690357,7.082844211,10.24146546,0.235697451,3.621981663,0.171416327,13.82181517,1.457038785,4.163197314,1.30704949,57.0358035,59.40647097,8.742714406,3.535461753,0.499583678,3.867580867,0.874271441,28.19798587,0.999167362,1.821298481,0,0,3.845177882,15.0101215
B1,56,0,34,63,12,25,27,9,85,0,12.23002315,4.578895667,0,2.780043798,5.151257625,0.981191929,2.044149851,2.207681839,0.735893946,6.950109495,0,0.6375721,0.23959127,0.12283663,B1,3170.345282,35,17.18639429,35.70884492,32.77035063,1.410514746,0,0,13.42594795,2.647004946,29.97288168,17.59937717,15.64298968,30.47261404,1.665160093,1.259388166,1.541462486,22.3186481,0.128455207,7.748671913,4.852752272,16.54378091,0,0,22.62597057,17.66606949
B10,1,1,0,2,4,3,13,2,1,0,11.28805556,0.088589217,0.088589217,0,0.177178433,0.354356867,0.26576765,1.151659817,0.177178433,0.088589217,0,0.42945632,0.3802739,0.19026981,B10,1033.385621,5,1.525506312,9.127346997,7.142857163,0.10676502,5.052264823,0.155294575,0,0,11.61440183,2.368242254,63.64692219,43.05542077,2.439024388,0.640590119,9.059233444,45.54983985,0.348432055,7.29884498,0.696864114,0.825002429,0,0,3.881995933,20.56663066
B1,29,3,4,3,2,37,18,17,7,0,11.23553241,2.58109709,0.267010044,0.356013392,0.267010044,0.178006696,3.293123873,1.602060263,1.513056915,0.623023435,0,0.6375721,0.23959127,0.12283663,B1,3170.345282,5,5.230726759,15.47412207,60.69423174,1.834809617,4.44104135,0.276084206,5.649140721,0.782238583,5.10464523,2.10514207,9.324485287,12.75739101,8.814020756,4.681927987,3.675344563,37.37489934,0.867789689,36.76521339,1.429300662,3.422293796,0,0,6.886276882,7.655439888
