Waterpoint,zebra,wildebeest,oryx,eland,elephant,impala,rhino,giraffe,kudu,springbok,time_range_days,RAI_zebra,RAI_wildebeest,RAI_oryx,RAI_eland,RAI_elephant,RAI_impala,RAI_rhino,RAI_giraffe,RAI_kudu,RAI_springbok,Woody.fraction,Herbaceous.fraction,Bare.fraction,Site,Area..ha.,Year,Grazing_units_absolute,Browsing_units_absolute,Grazing_percentage_zebra,Browsing_percentage_zebra,Grazing_percentage_wildebeest,Browsing_percentage_wildebeest,Grazing_percentage_oryx,Browsing_percentage_oryx,Grazing_percentage_eland,Browsing_percentage_eland,Grazing_percentage_elephant,Browsing_percentage_elephant,Grazing_percentage_impala,Browsing_percentage_impala,Grazing_percentage_rhino,Browsing_percentage_rhino,Grazing_percentage_giraffe,Browsing_percentage_giraffe,Grazing_percentage_kudu,Browsing_percentage_kudu,Grazing_percentage_springbok,Browsing_percentage_springbok,Grazing_units_per_1000ha,Browsing_units_per_1000ha
ADC,0,7,6,1,7,128,4,6,30,45,7.024305556,0,0.996539792,0.854176965,0.142362827,0.996539792,18.22244192,0.56945131,0.854176965,4.270884825,6.406327237,0.5156612,0.41968256,0.06465625,ADC,2831.733892,2021,7.670509145,26.18337123,0,0,11.30289532,0.608960418,9.242761693,1.109177903,1.855976244,0.663331883,35.59762435,42.20856894,33.25909428,15.31100478,0.890868597,7.851239669,0.334075724,12.2662027,6.681514477,13.86472379,0.83518931,6.116789909,6.454325014,17.93117172
ALL,2,11,8,11,12,92,36,10,24,18,7.120833333,0.280866004,1.544763019,1.123464014,1.544763019,1.685196021,12.91983616,5.055588063,1.404330018,3.370392042,2.527794032,0.6029171,0.3699463,0.027136529,ALL,2883.361025,2021,11.67138678,51.10356934,2.959932619,0.060456169,11.51485982,0.483649354,7.989411623,0.747458093,13.23547106,3.687826326,39.56202623,36.5704864,15.49753339,5.561967574,5.197930454,35.713108,0.360967393,10.33250893,3.465286969,5.605935697,0.216580436,1.236603462,10.94169865,29.39643121
MAR,12,30,29,13,14,73,16,6,48,4,7.121527778,1.685031692,4.21257923,4.072159922,1.825451,1.965870307,10.25060946,2.246708922,0.842515846,6.740126767,0.561677231,0.4794424,0.4630654,0.05749219,MAR,3030.129684,2021,18.87375914,45.67559239,10.98132579,0.40580423,19.41819805,1.475651746,17.90789376,3.031234629,9.671899412,4.875799311,28.53954319,47.73118544,7.603600923,4.937284801,1.428465144,17.75700935,0.133918607,6.935563207,4.285395432,12.54303984,0.02975969,0.307427447,13.45100892,31.44028934
OGL,8,12,16,3,17,133,18,2,65,1,6.989583333,1.144560358,1.716840537,2.289120715,0.429210134,2.43219076,19.02831595,2.575260805,0.286140089,9.299552906,0.143070045,0.49392694,0.44590577,0.060167294,OGL,3318.463747,2021,15.9938003,51.17472429,8.802218445,0.246023093,9.338939082,0.536777657,11.87941676,1.520870027,2.683603185,1.023232408,41.66741211,52.70765188,16.65623043,8.18026783,1.932194293,18.16656882,0.053672064,2.102379155,6.97736828,15.44633621,0.008945344,0.069892924,10.80865113,31.22164057
OND,6,6,7,3,17,75,7,0,18,0,6.994444444,0.85782367,0.85782367,1.000794281,0.428911835,2.430500397,10.72279587,1.000794281,0,2.573471009,0,0.6485944,0.32627818,0.025127457,OND,3335.618044,2021,11.65067514,36.20873709,9.05632593,0.260601753,6.40569395,0.379057095,7.129709167,0.939745716,3.681433305,1.445155176,57.16038778,74.44128564,12.88501657,6.515043828,1.030801325,9.977888336,0,0,2.650631979,6.041222459,0,0,10.70500186,16.73647019
ONG,10,28,16,1,29,51,15,11,42,15,6.997916667,1.428996725,4.001190831,2.28639476,0.142899673,4.144090503,7.287883299,2.143495088,1.571896398,6.001786246,2.143495088,0.5430762,0.42582178,0.031101998,ONG,2456.153919,2021,20.70044656,68.5961298,8.490956786,0.229152345,16.81623637,0.933275004,9.167472042,1.133262504,0.69032169,0.254150782,54.85296148,66.99789596,4.928896866,2.337353915,1.242579042,11.28054497,0.227806158,8.616128159,3.479221317,7.437035185,0.103548253,0.781201175,19.79229996,51.42606137
OTC,13,37,28,17,15,134,9,12,72,2,7.097222222,1.831702544,5.213307241,3.945205479,2.395303327,2.113502935,18.88062622,1.268101761,1.690802348,10.14481409,0.281800391,0.56534624,0.39428565,0.040368065,OTC,2299.049735,2021,22.31577299,52.52054795,10.09597171,0.383635144,20.32453593,1.588195842,14.6735699,2.55399061,10.73367849,5.564050973,25.95024624,44.6277666,11.84492992,7.90878605,0.681904281,8.716297787,0.227301427,12.10462777,5.455234247,16.41851107,0.012627857,0.134138162,24.61799036,40.40790867
RAI,27,7,26,5,14,88,30,8,18,11,6.990972222,3.862123771,1.001291348,3.71908215,0.715208106,2.002582696,12.58766266,4.291248634,1.144332969,2.57474918,1.573457833,0.52959716,0.41710842,0.053294376,RAI,2994.925211,2021,17.54691567,50.07601073,27.0726339,0.848377514,4.964539007,0.319926874,17.59191326,2.525137112,4.075976196,1.742458867,31.27088938,44.34986289,10.04320535,5.530164534,2.934702861,30.93578611,0.195646857,8.592321755,1.760821717,4.370429616,0.089671476,0.785534735,14.04642647,31.57170924
ROL,9,11,56,10,30,9,15,1,58,0,7.010416667,1.283803863,1.569093611,7.988112927,1.426448737,4.279346211,1.283803863,2.139673105,0.142644874,8.273402675,0,0.6299326,0.34801912,0.022048274,ROL,2185.524736,2021,24.15976226,67.8818425,6.535986302,0.208035639,5.650351302,0.369841136,27.44287654,4.001008658,5.904233335,2.563671514,48.53279802,69.912583,0.7439334,0.416071278,1.062762,11.37891906,0.0177127,0.790115155,4.109346401,10.35975456,0,0,31.7639004,49.30645863
SON,208,101,38,18,10,81,45,6,8,101,6.996527778,29.72903226,14.43573201,5.431265509,2.572704715,1.429280397,11.57717122,6.431761787,0.857568238,1.143424318,14.43573201,0.3736317,0.47758645,0.14878191,SON,1369.85424,2021,62.82259057,59.98689826,58.20630659,5.451512985,19.9913546,3.850369311,7.175683669,3.078389326,4.095190426,5.232308792,6.233789871,26.42363593,2.579969969,4.245889921,1.228557128,38.70621873,0.040951904,5.375268049,0.218410156,1.620204908,0.229785685,6.016202049,96.02614325,117.2028932
